dayId,wordId,title,meaning,correctCount,wrongCount
1 ,1,unwitting,자신도 모르는,0,0
1 ,2,unobservant,"부주의한, 지키지 않는",0,0
1 ,3,puganacious,"싸우기좋아하는, 호전적인",0,0
1 ,4,viable,"실행가능한, 성공할 수 있는",0,0
1 ,5,docile,"온순한, 말잘듣는",0,0
1 ,6,subjugate,"예속시키다, 정벌하다",0,0
1 ,7,loath,싫은,0,0
1 ,8,dauntless,"불굴의, 강건한",0,0
1 ,9,imminent,임박하다,0,0
1 ,10,trite,"흔해빠진, 진부한",0,0
1 ,11,compliment,경의의,0,0
1 ,12,tirade,"장황한 비난, 장광설",0,0
1 ,13,extirpate,"제거하다, 없애다, 일소하다,근절하다",0,0
1 ,14,imperative,"반드시해야하는, 위엄있는",0,0
1 ,15,reproach,"비난, 책망",0,0
1 ,16,prophetic,"예언의, 예언적인",0,0
1 ,17,penitent,"회개하다,참회하다",0,0
1 ,18,upsurge,급증,0,0
1 ,19,conviction,"유죄선고, 신념",0,0
1 ,20,on a par with ~,~와 같은 수준의,0,0
1 ,21,frailty,"여림, 약점",0,0
1 ,22,condemn,"규탄하다, 비난",0,0
1 ,23,allure,매력,0,0
1 ,24,bootless,쓸모없다,0,0
1 ,25,garble,"멋대로고치다,오전하다, 왜곡하다, 부룬물",0,0
1 ,26,suitor,구혼자,0,0
1 ,27,intractable,다루기힘든,0,0
1 ,28,malfeasance,"불법, 부정행위",0,0
1 ,29,tangentially,"접하는, 거의 관계없이 접하기만하는",0,0
1 ,30,heterodox,"이설의, 비주류의, 이단의",0,0
2 ,31,fulsome,"역겨운, 지나친,집요한, 진실성 없이 과장된",0,0
2 ,32,jibe,"험담, 모욕적인말, 조화하다,일치하다",0,0
2 ,33,galvanize,"활기차게하다, 북돋우다",0,0
2 ,34,encomiastic,칭찬의/찬사의,0,0
2 ,35,concision,"간결, 절제",0,0
2 ,36,benign,"상냥한, 점잖은",0,0
2 ,37,soporific,최면성의,0,0
2 ,38,ineffectual,"무능력한, 능력없는",0,0
